Config 227 | WITH OT              |    56.72 sec | ✅
Config 228 | WITHOUT OT (PLAIN)   |    57.34 sec | ✅
Config 228 | WITH OT              |    47.05 sec | ✅
Config 229 | WITHOUT OT (PLAIN)   |    48.91 sec | ✅
Config 229 | WITH OT              |    51.60 sec | ✅
Config 230 | WITHOUT OT (PLAIN)   |    55.76 sec | ✅
Config 230 | WITH OT              |    45.33 sec | ✅
Config 231 | WITHOUT OT (PLAIN)   |    46.28 sec | ✅
Config 231 | WITH OT              |    53.84 sec | ✅
Config 232 | WITHOUT OT (PLAIN)   |    52.45 sec | ✅
Config 232 | WITH OT              |    48.62 sec | ✅
Config 233 | WITHOUT OT (PLAIN)   |    49.13 sec | ✅
Config 233 | WITH OT              |    54.97 sec | ✅
